Data Source Name,File Name,File Path,File Type,Step Name,DD Name,DISP,Program Name,Logical Name,Copybook Record Name,Copybook File Path,Access Type,System Program,Data Source Type
AWS.M2.CARDDEMO.IMSDATA.DBPAUTP0,DBPAUTP0.jcl,demo/app-authorization-ims-db2-mq/jcl/DBPAUTP0.jcl,JCL,STEPDEL,SYSUT1,"MOD,DELETE",IEFBR14,,,,DELETE,Yes,Dataset
AWS.M2.CARDDEMO.IMSDATA.DBPAUTP0,DBPAUTP0.jcl,demo/app-authorization-ims-db2-mq/jcl/DBPAUTP0.jcl,JCL,UNLOAD,DFSURGU1,",CATLG,DELETE",DFSRRC00/DFSURGU0,,,,,No,Dataset
AWS.M2.CARDDEMO.JCL(INTRDRJ2),INTRDRJ1.JCL,demo/jcl/INTRDRJ1.JCL,JCL,STEP01,SYSUT1,SHR,IEBGENER,,,,READ,Yes,Non VSAM
AWS.M2.CARDDEMO.PAUTDB.CHILD.FILEO,LOADPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/LOADPADB.JCL,JCL,STEP01,INFILE2,SHR,DFSRRC00/PAUDBLOD,,,,,No,Dataset
AWS.M2.CARDDEMO.PAUTDB.CHILD.FILEO,PAUDBLOD.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL,COBOL,,INFILE2,,,INFILE2,,,READ,,Dataset
AWS.M2.CARDDEMO.PAUTDB.CHILD.FILEO,PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,COBOL,,OUTFIL2,,,OPFILE2,,,WRITE,,Dataset
AWS.M2.CARDDEMO.PAUTDB.CHILD.FILEO,UNLDPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDPADB.JCL,JCL,STEP0,DD2,"OLD,DELETE,DELETE",IEFBR14,,,,DELETE,Yes,Dataset
AWS.M2.CARDDEMO.PAUTDB.CHILD.FILEO,UNLDPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDPADB.JCL,JCL,STEP01,OUTFIL2,"NEW,CATLG,DELETE",DFSRRC00/PAUDBUNL,,,,,No,Dataset
AWS.M2.CARDDEMO.PAUTDB.CHILD.GSAM,DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,COBOL,,PADFILOP,,,,,,,,Dataset
AWS.M2.CARDDEMO.PAUTDB.CHILD.GSAM,UNLDGSAM.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDGSAM.JCL,JCL,STEP01,PADFILOP,"OLD,KEEP,KEEP",DFSRRC00/DBUNLDGS,,,,,No,Dataset
AWS.M2.CARDDEMO.PAUTDB.ROOT.FILEO,LOADPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/LOADPADB.JCL,JCL,STEP01,INFILE1,SHR,DFSRRC00/PAUDBLOD,,,,,No,Dataset
AWS.M2.CARDDEMO.PAUTDB.ROOT.FILEO,PAUDBLOD.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL,COBOL,,INFILE1,,,INFILE1,,,READ,,Dataset
AWS.M2.CARDDEMO.PAUTDB.ROOT.FILEO,PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,COBOL,,OUTFIL1,,,OPFILE1,,,WRITE,,Dataset
AWS.M2.CARDDEMO.PAUTDB.ROOT.FILEO,UNLDPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDPADB.JCL,JCL,STEP0,DD1,"OLD,DELETE,DELETE",IEFBR14,,,,DELETE,Yes,Dataset
AWS.M2.CARDDEMO.PAUTDB.ROOT.FILEO,UNLDPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDPADB.JCL,JCL,STEP01,OUTFIL1,"NEW,CATLG,DELETE",DFSRRC00/PAUDBUNL,,,,,No,Dataset
AWS.M2.CARDDEMO.PAUTDB.ROOT.GSAM,DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,COBOL,,PASFILOP,,,,,,,,Dataset
AWS.M2.CARDDEMO.PAUTDB.ROOT.GSAM,UNLDGSAM.JCL,demo/app-authorization-ims-db2-mq/jcl/UNLDGSAM.JCL,JCL,STEP01,PASFILOP,"OLD,KEEP,KEEP",DFSRRC00/DBUNLDGS,,,,,No,Dataset
AWS.M2.CARDDEMO.STATEMNT.HTML,CBSTM03A.cbl,demo/cbl/CBSTM03A.CBL,COBOL,,HTMLFILE,,,HTML-FILE,,,WRITE,,Dataset
AWS.M2.CARDDEMO.STATEMNT.HTML,CREASTMT.JCL,demo/jcl/CREASTMT.JCL,JCL,STEP030,HTMLFILE,"MOD,DELETE,DELETE",IEFBR14,,,,DELETE,Yes,Dataset
AWS.M2.CARDDEMO.STATEMNT.HTML,CREASTMT.JCL,demo/jcl/CREASTMT.JCL,JCL,STEP040,HTMLFILE,"NEW,CATLG,DELETE",CBSTM03A,,,,,No,Dataset
AWS.M2.CARDDEMO.STATEMNT.PS,CBSTM03A.cbl,demo/cbl/CBSTM03A.CBL,COBOL,,STMTFILE,,,STMT-FILE,,,WRITE,,Dataset
AWS.M2.CARDDEMO.STATEMNT.PS,CREASTMT.JCL,demo/jcl/CREASTMT.JCL,JCL,STEP030,STMTFILE,"MOD,DELETE,DELETE",IEFBR14,,,,DELETE,Yes,Dataset
AWS.M2.CARDDEMO.STATEMNT.PS,CREASTMT.JCL,demo/jcl/CREASTMT.JCL,JCL,STEP040,STMTFILE,"NEW,CATLG,DELETE",CBSTM03A,,,,,No,Dataset
AWS.M2.CARDDEMO.STATEMNT.PS,TXT2PDF1.JCL,demo/jcl/TXT2PDF1.JCL,JCL,TXT2PDF,INDD,SHR,IKJEFT1B,,,,,Yes,Dataset
AWS.M2.CARDDEMO.SYSTRAN,CBACT04C.cbl,demo/cbl/CBACT04C.cbl,COBOL,,TRANSACT,,,TRANSACT-FILE,TRAN-RECORD,demo/cpy/CVTRA05Y.cpy,WRITE,,GDG Base
AWS.M2.CARDDEMO.SYSTRAN,COMBTRAN.jcl,demo/jcl/COMBTRAN.jcl,JCL,STEP05R,SORTIN,SHR,SORT,,,,READ,Yes,GDG Base
AWS.M2.CARDDEMO.SYSTRAN,DEFGDGB.jcl,demo/jcl/DEFGDGB.jcl,JCL,STEP05,,,IDCAMS,,,,CREATE,Yes,GDG Base
AWS.M2.CARDDEMO.SYSTRAN,INTCALC.jcl,demo/jcl/INTCALC.jcl,JCL,STEP15,TRANSACT,"NEW,CATLG,DELETE",CBACT04C,,,,,No,GDG Base
