Name,Type,Path,Parents,Link Types
INFILE1,Missing Source File,-,PAUDBLOD.CBL,Assignment clause
INFILE2,Missing Source File,-,PAUDBLOD.CBL,Assignment clause
INPFILE,Missing Source File,-,COBTUPDT.cbl,Assignment clause
OEM.CICSTS.V05R06M0.CICS.SDFHLOAD,Missing PDS,-,CBADMCDJ.jcl,PDS use
OEM.DB2.DAZ1.RUNLIB.LOAD,Missing PDS,-,"CREADB21.jcl, TRANEXTR.jcl","PDS use; Resolved Symbol, PDS use"
OEM.DB2.DAZ1.SDSNEXIT,Missing PDS,-,"CREADB21.jcl, MNTTRDB2.jcl","PDS use, PDS use"
OEM.DB2.DAZ1.SDSNLOAD,Missing [Dataset, PDS],-,CREADB21.jcl,PDS use; Read Dataset; Resolved Symbol
OEMA.IMS.IMSP.SDFSRESL,Missing [Dataset, PDS],-,"LOADPADB.JCL, UNLDGSAM.JCL, DBPAUTP0.jcl, UNLDPADB.JCL","PDS use; Read Dataset, PDS use; Read Dataset, PDS use; Read Dataset, PDS use; Read Dataset"
OEMPP.IMS.V15R01MB.PROCLIB,Missing PDS,-,"LOADPADB.JCL, UNLDGSAM.JCL, DBPAUTP0.jcl, UNLDPADB.JCL","PDS use, PDS use, PDS use, PDS use"
OUTFIL1,Missing Source File,-,PAUDBUNL.CBL,Assignment clause
OUTFIL2,Missing Source File,-,PAUDBUNL.CBL,Assignment clause
STMTFILE,Missing Source File,-,CBSTM03A.CBL,Assignment clause
TCATBALF,Missing Source File,-,"CBACT04C.cbl, CBTRN02C.cbl","Assignment clause, Assignment clause"
TRANFILE,Missing Source File,-,"CBTRN01C.cbl, CBTRN02C.cbl, CBTRN03C.cbl","Assignment clause, Assignment clause, Assignment clause"
TRANREPT,Missing Source File,-,CBTRN03C.cbl,Assignment clause
TRANSACT,Missing Source File,-,"CBACT04C.cbl, CBEXPORT.cbl","Assignment clause, Assignment clause"
TRNXFILE,Missing Source File,-,CBSTM03B.CBL,Assignment clause
TRNXOUT,Missing Source File,-,CBIMPORT.cbl,Assignment clause
VBRCFILE,Missing Source File,-,CBACT01C.cbl,Assignment clause
XREFFILE,Missing Source File,-,"CBSTM03B.CBL, CBACT04C.cbl, CBTRN01C.cbl, CBEXPORT.cbl, CBTRN02C.cbl, CBACT03C.cbl","Assignment clause, Assignment clause, Assignment clause, Assignment clause, Assignment clause, Assignment clause"
XREFOUT,Missing Source File,-,CBIMPORT.cbl,Assignment clause
