Name,Path,File type,Cyclomatic Complexity,Total lines,Empty Lines,Effective Lines,Comment Lines
CODATE01.cbl,demo/app-vsam-mq/cbl/CODATE01.cbl,COB,29,525,1,508,16
MNTTRDB2.jcl,demo/app-transaction-type-db2/jcl/MNTTRDB2.jcl,JCL,0,30,0,12,18
COCRDUP.bms,demo/bms/COCRDUP.bms,BMS,1,173,1,151,21
DB2LTCAT.ctl,demo/app-transaction-type-db2/ctl/DB2LTCAT.ctl,SQL,0,40,2,24,14
LOADPADB.JCL,demo/app-authorization-ims-db2-mq/jcl/LOADPADB.JCL,JCL,0,52,1,19,32
CREADB21.jcl,demo/app-transaction-type-db2/jcl/CREADB21.jcl,JCL,2,85,1,40,44
COTRN00C.cbl,demo/cbl/COTRN00C.cbl,COB,88,700,86,532,82
CBIMPORT.cbl,demo/cbl/CBIMPORT.cbl,COB,37,488,76,338,74
COTRTUP.cpy,demo/app-transaction-type-db2/cpy-bms/COTRTUP.cpy,CPY,0,201,1,184,16
PSBPAUTB.psb,demo/app-authorization-ims-db2-mq/ims/PSBPAUTB.psb,PSB,0,21,0,21,0
COACTUP.bms,demo/bms/COACTUP.bms,BMS,1,513,1,491,21
COTRTLI.cpy,demo/app-transaction-type-db2/cpy-bms/COTRTLI.cpy,CPY,0,501,1,484,16
COBTUPDT.cbl,demo/app-transaction-type-db2/cbl/COBTUPDT.cbl,COB,25,238,1,205,32
PADFLPCB.CPY,demo/app-authorization-ims-db2-mq/cpy/PADFLPCB.CPY,CPY,0,27,1,10,16
COTRN00.bms,demo/bms/COTRN00.bms,BMS,1,465,2,442,21
DCLTRCAT.dcl,demo/app-transaction-type-db2/dcl/DCLTRCAT.dcl,CPY,0,55,1,14,40
PAUTBUNL.PSB,demo/app-authorization-ims-db2-mq/ims/PAUTBUNL.PSB,PSB,0,22,0,22,0
CBTRN03C.cbl,demo/cbl/CBTRN03C.cbl,COB,83,650,50,547,53
IMSFUNCS.cpy,demo/app-authorization-ims-db2-mq/cpy/IMSFUNCS.cpy,CPY,0,27,0,11,16
CORPT00.bms,demo/bms/CORPT00.bms,BMS,1,232,1,210,21
COCRDSLC.cbl,demo/cbl/COCRDSLC.cbl,COB,80,888,109,649,130
COPAU01.cpy,demo/app-authorization-ims-db2-mq/cpy-bms/COPAU01.cpy,CPY,0,345,1,328,16
DBPAUTP0.dbd,demo/app-authorization-ims-db2-mq/ims/DBPAUTP0.dbd,DBD,0,41,0,41,0
COCRDLIC.cbl,demo/cbl/COCRDLIC.cbl,COB,136,1460,154,1103,203
COTRTUP.bms,demo/app-transaction-type-db2/bms/COTRTUP.bms,BMS,1,138,1,119,18
XAUTHFRD.ddl,demo/app-authorization-ims-db2-mq/ddl/XAUTHFRD.ddl,SQL,0,5,1,4,0
